127.0.0.1 - - [15/Feb/2023:13:52:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:27 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:41 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:46 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:46 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:52 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:52 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:53 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:58 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:52:58 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:53:04 +0900] "GET /StudyJSP/jsp12_dbcp/admin_main.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:54:25 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:54:25 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:54:25 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:54:29 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:54:29 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [15/Feb/2023:13:54:39 +0900] "GET /StudyJSP/jsp12_dbcp/admin_main.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:06 +0900] "GET /StudyJSP/jsp12_dbcp/admin_main.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:14 +0900] "GET /StudyJSP/jsp12_dbcp/admin_main.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:18 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:18 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:21 +0900] "GET /StudyJSP/jsp12_dbcp/admin_main.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:54 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:57 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:57 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [15/Feb/2023:14:02:59 +0900] "GET /StudyJSP/jsp12_dbcp/admin_main.jsp HTTP/1.1" 200 165
